[Coverage of Each Statement]
_______________________________________________________________________________________________________________
| Statement                                                                                           |Covered?|
| l6#28 = staticinvoke <comp5...                                                                      |   N   |
| $stack8)...                                                                                         |   Y   |
| return $stack22                                                                                     |   Y   |
| if $stack3 != 0 goto $stack4 = 0                                                                    |   N   |
| virtualinvoke $stack4.<java.lang.StringBuilder: java.lang.StringBuilder append(int)>(l0)            |   Y   |
| l2 = 16                                                                                             |   N   |
| if l4 <= 255 goto $stack11 = virtualinvoke l3.<java.lang.String: int length()>()                    |   N   |
| if l3#27 > 8 goto $stack15 = 0                                                                      |   Y   |
| l4 = 0                                                                                              |   Y   |
| $stack11 = virtualinvoke l3.<java.lang.String: int length()>()                                      |   N   |
| goto [?= (branch)]                                                                                  |   N   |
| l3 = l3 + 1                                                                                         |   N   |
| $stack48 = staticinvoke <co...                                                                      |   N   |
| l2 = virtualinvoke l0.<java.lang.String: int length()>()                                            |   Y   |
| $stack105 = new java.lang.NumberFormatException                                                     |   N   |
| l3 = interfaceinvoke l0.<java.lang.CharSequence: int length()>()                                    |   Y   |
| if l6 > 16 goto $stack122 =...                                                                      |   N   |
| l7 = l7 + 7                                                                                         |   Y   |
| if $stack12 != null goto l3 = l3 + -1                                                               |   Y   |
| if l8 != l5 goto (branch)                                                                           |   N   |
| if l0 != 47 goto (branch)                                                                           |   Y   |
| if l7 <= 65535 goto l3#27 = l3#27 + 1                                                               |   N   |
| if l5#11 == 46 goto $stack119 = 0                                                                   |   Y   |
| if $stack1 < 0 goto return l0                                                                       |   Y   |
| specialinvoke l0.<java.lang.Object: void <init>()>()                                                |   Y   |
| l4 = l0 % 100                                                                                       |   Y   |
| return 1                                                                                            |   N   |
| $stack9 = virtualinvoke $st...                                                                      |   Y   |
| if l8 != null goto $stack62 = new java.lang.NumberFormatException                                   |   N   |
| l3 = virtualinvoke l0.<java.lang.String: int indexOf(java.lang.String)>(l1)                         |   Y   |
| goto [?= return $stack2]                                                                            |   Y   |
| l5 = staticinvoke <java.lang.Math: int floorDiv(int,int)>(l0, 100)                                  |   Y   |
| $stack5 = <comp5111.assignment.cut.Subject$FilenameTasks: java.util.regex.Pattern IPV4_PATTERN>     |   Y   |
| $stack3 = $stack2 + 1                                                                               |   Y   |
| $stack44 = virtualinvoke l12#81.<java.lang.Float: java.lang.String toString()>()                    |   N   |
| if $stack6 != 0 goto l2 = l2 + 1                                                                    |   Y   |
| if $stack10 == 0 goto $stac...                                                                      |   Y   |
| l8, l3)...                                                                                          |   Y   |
| if l0 != null goto l1 = virtualinvoke l0.<java.lang.String: int length()>()                         |   Y   |
| goto [?= return $stack4]                                                                            |   Y   |
| return                                                                                              |   Y   |
| goto [?= return $stack4]                                                                            |   N   |
| if $stack1 == 0 goto $stack2 = virtualinvoke l0.<java.lang.String: int length()>()                  |   Y   |
| if $stack6 != 1 goto l1 = 0                                                                         |   Y   |
| $stack14 = virtualinvoke l3.<java.lang.String: boolean startsWith(java.lang.String)>("0")           |   N   |
| l2 = 1                                                                                              |   Y   |
| l2 = 0                                                                                              |   Y   |
| $stack5 = new java.lang.IllegalArgumentException                                                    |   Y   |
| if l6 >= $stack15 goto $stack16 = new java.lang.String                                              |   Y   |
| goto [?= return l0#4]                                                                               |   Y   |
| return null                                                                                         |   N   |
