[Coverage of Each Statement]
_______________________________________________________________________________________________________________
| Statement                                                                                           |Covered?|
| goto [?= return $stack1]                                                                            |   Y   |
| lookupswitch(l5#11) {     c...                                                                      |   Y   |
| $stack13 = lengthof l1                                                                              |   Y   |
| if l0 < 65 goto $stack1 = 0                                                                         |   Y   |
| $stack25 = staticinvoke <java.lang.Character: boolean isDigit(char)>(l5#11)                         |   Y   |
| if $stack4 == 0 goto (branch)                                                                       |   Y   |
| l2 = 1                                                                                              |   Y   |
| goto [?= (branch)]                                                                                  |   N   |
| $stack58 = l10 + 1                                                                                  |   N   |
| if l2 >= $stack4 goto return 1                                                                      |   Y   |
| goto [?= l13#69 = staticinv...                                                                      |   N   |
| l2 = l2 + 1                                                                                         |   N   |
| return 2                                                                                            |   Y   |
| $stack6 = staticinvoke <java.lang.Character: boolean isDigit(char)>($stack5)                        |   Y   |
| return 0                                                                                            |   N   |
| if l2 < 1 goto $stack7 = new java.lang.IllegalArgumentException                                     |   Y   |
| return                                                                                              |   Y   |
| l6 = 0 + 1                                                                                          |   Y   |
---------------------------------------------------------------------------------------------------------------

[Coverage of Each Branch]
_______________________________________________________________________________________________________________
Branch                                                                                                |Covered?
|-----------------------------------------------------------------------------------------------------|-------|
| Source: if l10 <= -1 goto $stack107 = l9 + 1                                                        |   N   |
|   Target: if l10 < l9 goto $stack114 = new java.lang.NumberFormatException                          |       |
| Source: if l3 >= $stack5 goto return 1                                                              |   N   |
|   Target: return 1                                                                                  |       |
| Source: if $stack4 != 1 goto $stack5 = virtualinvoke l0.<java.lang.String: int length()>()          |   Y   |
|   Target: $stack5 = virtualinvoke l0.<java.lang.String: int length()>()                             |       |
| Source: if $stack41 != 0 goto l2 = virtualinvoke l0.<java.lang.String: java.lang.String[] split(... |   N   |
|   Target: return 0                                                                                  |       |
| Source: if $stack24 == 0 goto $stack19 = virtualinvoke l6.<java.lang.String: int length()>()        |   Y   |
|   Target: $stack19 = virtualinvoke l6.<java.lang.String: int length()>()                            |       |
| Source: if l3 >= $stack5 goto return 1                                                              |   Y   |
|   Target: $stack6 = virtualinvoke l0.<java.lang.String: char charAt(int)>(l3)                       |       |
| Source: if $stack29 != 0 goto $stack30 = virtualinvoke l13#69.<java.lang.Double: boolean isInfin... |   N   |
|   Target: $stack30 = virtualinvoke l13#69.<java.lang.Double: boolean isInfinite()>()                |       |
| Source: if l2 == 45 goto $stack7 = 1                                                                |   N   |
|   Target: $stack7 = 1                                                                               |       |
| Source: if $stack1 == 0 goto $stack4 = 1                                                            |   Y   |
|   Target: $stack4 = 1                                                                               |       |
| Source: if l0 != 5 goto (branch)                                                                    |   Y   |
|   Target: if l0 != 6 goto (branch)                                                                  |       |
| Source: if $stack16 == 0 goto l4 = 0                                                                |   Y   |
|   Target: l4 = l4 + 1                                                                               |       |
| Source: if $stack83 != 0 goto return l13#63                                                         |   N   |
|   Target: return l13#63                                                                             |       |
| Source: if l2 <= 31 goto $stack9 = staticinvoke <comp5111.assignment.cut.Subject$GregorianTasks:... |   Y   |
|   Target: $stack9 = staticinvoke <comp5111.assignment.cut.Subject$GregorianTasks: int getLength...  |       |
| Source: if $stack9 != -1 goto l1 = virtualinvoke l0.<java.lang.String: char[] toCharArray()>()      |   N   |
|   Target: l1 = virtualinvoke l0.<java.lang.String: char[] toCharArray()>()                          |       |
| Source: if l0 != 8 goto (branch)                                                                    |   Y   |
|   Target: return 15                                                                                 |       |
| Source: if l0 != null goto $stack6 = virtualinvoke l0.<java.lang.String: boolean isEmpty()>()       |   N   |
|   Target: return null                                                                               |       |
| Source: if l2 <= $stack10 goto l3 = staticinvoke <comp5111.assignment.cut.Subject$GregorianTasks... |   Y   |
|   Target: l3 = staticinvoke <comp5111.assignment.cut.Subject$GregorianTasks: int gaussianWeekTe...  |       |
| Source: if $stack12 == 0 goto $stack13 = virtualinvoke l0.<java.lang.String: boolean startsWith(... |   N   |
|   Target: l2 = 16                                                                                   |       |
| Source: if l0 != null goto $stack1 = staticinvoke <comp5111.assignment.cut.Subject$FilenameTasks... |   N   |
|   Target: return null                                                                               |       |
| Source: if l0 != 4 goto (branch)                                                                    |   N   |
|   Target: return 5                                                                                  |       |
| Source: if $stack13 != l7 goto l8 = l8 + 1                                                          |   N   |
|   Target: $stack16 = staticinvoke <java.lang.Character: boolean isHighSurrogate(char)>(l7)          |       |
| Source: if l1 == 5 goto return 31                                                                   |   Y   |
|   Target: return 31                                                                                 |       |
| Source: if l1 == 13 goto return ""                                                                  |   Y   |
|   Target: if l1 != 10 goto return l0                                                                |       |
| Source: if l0 == 0 goto $stack2 = -1                                                                |   Y   |
|   Target: $stack2 = 1                                                                               |       |
| Source: if l5 != 1 goto $stack25 = new java.lang.String                                             |   N   |
|   Target: l8 = l6 - 1                                                                               |       |
| Source: if l2 <= 1 goto (branch)                                                                    |   Y   |
|   Target: if l4 != 0 goto l3 = l3 + 1                                                               |       |
| Source: if l2 < 1 goto $stack7 = new java.lang.IllegalArgumentException                             |   Y   |
|   Target: if l2 <= 31 goto $stack9 = staticinvoke <comp5111.assignment.cut.Subject$GregorianTas...  |       |
| Source: if $stack15 == 0 goto $stack16 = newarray (java.lang.String)[3]                             |   Y   |
|   Target: $stack16 = newarray (java.lang.String)[3]                                                 |       |
| Source: if l0 < 65 goto $stack1 = 0                                                                 |   Y   |
|   Target: if l0 > 90 goto $stack1 = 0                                                               |       |
| Source: if l7#20 != null goto $stack62 = new java.lang.NumberFormatException                        |   N   |
|   Target: $stack62 = new java.lang.NumberFormatException                                            |       |
| Source: if $stack10 == 0 goto l2 = interfaceinvoke l0.<java.lang.CharSequence: int length()>()      |   Y   |
|   Target: l2 = interfaceinvoke l0.<java.lang.CharSequence: int length()>()                          |       |
| Source: if $stack19 <= $stack20 goto $stack9 = new java.math.BigInteger                             |   N   |
|   Target: $stack9 = new java.math.BigInteger                                                        |       |
| Source: if l1 == 3 goto return 31                                                                   |   Y   |
|   Target: return 31                                                                                 |       |
| Source: if l10 <= l2 goto l6#28 = staticinvoke <comp5111.assignment.cut.Subject$NumberTasks: jav... |   N   |
|   Target: l6#28 = staticinvoke <comp5111.assignment.cut.Subject$NumberTasks: java.lang.String g...  |       |
| Source: if l7 > 0 goto return l7                                                                    |   Y   |
|   Target: return l7                                                                                 |       |
| Source: if $stack76 != 0 goto (branch)                                                              |   N   |
|   Target: goto [?= $stack77 = staticinvoke <comp5111.assignment.cut.Subject$NumberTasks: java.m...  |       |
| Source: if $stack33 != 0 goto l14 = staticinvoke <comp5111.assignment.cut.Subject$NumberTasks: j... |   N   |
|   Target: $stack38 = staticinvoke <comp5111.assignment.cut.Subject$NumberTasks: boolean isZero(...  |       |
| Source: if $stack6 == 0 goto l1 = 0                                                                 |   Y   |
|   Target: l1 = 0                                                                                    |       |
| Source: if l0 != 10 goto (branch)                                                                   |   Y   |
|   Target: return 20                                                                                 |       |
| Source: if l4 != 43 goto $stack8 = virtualinvoke l0.<java.lang.String: boolean startsWith(java.l... |   Y   |
|   Target: $stack8 = virtualinvoke l0.<java.lang.String: boolean startsWith(java.lang.String,int...  |       |
| Source: if l1 != 11 goto (branch)                                                                   |   Y   |
|   Target: if l1 != 2 goto $stack4 = new java.lang.IllegalArgumentException                          |       |
| Source: if l6 >= l4 goto l8 = l8 + 1                                                                |   N   |
|   Target: l8 = l8 + 1                                                                               |       |
| Source: if $stack9 != -1 goto l1 = virtualinvoke l0.<java.lang.String: char[] toCharArray()>()      |   Y   |
|   Target: $stack32 = virtualinvoke l0.<java.lang.String: int indexOf(int)>(42)                      |       |
| Source: if $stack41 != 0 goto l2 = virtualinvoke l0.<java.lang.String: java.lang.String[] split(... |   N   |
|   Target: l2 = virtualinvoke l0.<java.lang.String: java.lang.String[] split(java.lang.String)>(...  |       |
| Source: if $stack18 == 43 goto $stack145 = 1                                                        |   N   |
|   Target: $stack145 = 1                                                                             |       |
| Source: if l0 != 9 goto (branch)                                                                    |   Y   |
|   Target: return 18                                                                                 |       |
| Source: if l8 != l5 goto (branch)                                                                   |   N   |
|   Target: if l6 >= l4 goto l8 = l8 + 1                                                              |       |
| Source: if l1 == 3 goto return 31                                                                   |   Y   |
|   Target: if l1 == 5 goto return 31                                                                 |       |
| Source: if $stack8 == -1 goto $stack5 = virtualinvoke l0.<java.lang.String: java.lang.String sub... |   Y   |
|   Target: l2 = l2 + -1                                                                              |       |
| Source: if l0 == null goto return l0                                                                |   Y   |
|   Target: if l1 == null goto return l0                                                              |       |
| Source: if $stack19 <= $stack20 goto $stack9 = new java.math.BigInteger                             |   N   |
|   Target: l2 = 8                                                                                    |       |
| Source: if $stack45 == 0 goto return 0                                                              |   N   |
|   Target: $stack11 = virtualinvoke l0.<java.lang.String: boolean endsWith(java.lang.String)>(":...  |       |
| Source: if $stack10 == 0 goto $stack11 = interfaceinvoke l0.<java.lang.CharSequence: char charAt... |   N   |
|   Target: l1 = 1                                                                                    |       |
| Source: if $stack13 == 0 goto (branch)                                                              |   Y   |
|   Target: if l2 <= 1 goto (branch)                                                                  |       |
| Source: if l1 != null goto $stack4 = interfaceinvoke l0.<java.lang.CharSequence: int length()>()    |   Y   |
|   Target: return 0                                                                                  |       |
| Source: if l7 >= l6 goto $stack13 = virtualinvoke $stack12.<java.lang.StringBuilder: int length(... |   N   |
|   Target: l8 = l1[l7]                                                                               |       |
| Source: if $stack18 != 0 goto (branch)                                                              |   N   |
|   Target: return 1                                                                                  |       |
| Source: if l10 <= l2 goto l6#28 = staticinvoke <comp5111.assignment.cut.Subject$NumberTasks: jav... |   N   |
|   Target: $stack105 = new java.lang.NumberFormatException                                           |       |
| Source: if $stack16 != 0 goto (branch)                                                              |   N   |
|   Target: return 0                                                                                  |       |
| Source: if $stack12 != 13 goto $stack7 = virtualinvoke l0.<java.lang.String: java.lang.String su... |   N   |
|   Target: $stack7 = virtualinvoke l0.<java.lang.String: java.lang.String substring(int,int)>(0,...  |       |
| Source: if l2 == 0 goto $stack8 = 0                                                                 |   N   |
|   Target: $stack8 = 0                                                                               |       |
| Source: if $stack36 != 0 goto $stack32 = <comp5111.assignment.cut.Subject$FilenameTasks: java.la... |   N   |
|   Target: $stack32 = <comp5111.assignment.cut.Subject$FilenameTasks: java.lang.String[] EMPTY_S...  |       |
| Source: if l1 == 13 goto return ""                                                                  |   N   |
|   Target: return ""                                                                                 |       |
| Source: if l1 != 12 goto (branch)                                                                   |   Y   |
|   Target: return 31                                                                                 |       |
| Source: if l0 == null goto return 0                                                                 |   Y   |
|   Target: return 0                                                                                  |       |
| Source: if $stack12 != 13 goto $stack7 = virtualinvoke l0.<java.lang.String: java.lang.String su... |   N   |
|   Target: l1#2 = l1#2 + -1                                                                          |       |
| Source: if l1 == 10 goto return 31                                                                  |   Y   |
|   Target: return 31                                                                                 |       |
| Source: if l0 == null goto $stack2 = l1                                                             |   Y   |
|   Target: $stack2 = virtualinvoke l0.<java.lang.Character: char charValue()>()                      |       |
| Source: if l8 == l4 goto (branch)                                                                   |   N   |
|   Target: $stack38 = new java.lang.String                                                           |       |
| Source: if $stack6 != 46 goto $stack13 = 0                                                          |   N   |
|   Target: $stack13 = 1                                                                              |       |
| Source: if $stack1 == 0 goto $stack2 = new java.math.BigDecimal                                     |   Y   |
|   Target: $stack2 = new java.math.BigDecimal                                                        |       |
| Source: if $stack43 != 0 goto $stack44 = virtualinvoke l12#81.<java.lang.Float: java.lang.String... |   N   |
|   Target: $stack48 = staticinvoke <comp5111.assignment.cut.Subject$NumberTasks: boolean isZero(...  |       |
| Source: if l4 == 42 goto l4 = l8                                                                    |   N   |
|   Target: l4 = l8                                                                                   |       |
| Source: if $stack14 == 0 goto l2 = l2 + 1                                                           |   N   |
|   Target: l2 = l2 + 1                                                                               |       |
| Source: if l0 != 2 goto (branch)                                                                    |   Y   |
|   Target: if l0 != 3 goto (branch)                                                                  |       |
| Source: if l2 != null goto l3 = virtualinvoke l0.<java.lang.String: int indexOf(java.lang.String... |   N   |
|   Target: return l0                                                                                 |       |
| Source: if l0 != null goto $stack1 = staticinvoke <java.lang.Double: java.lang.Double valueOf(ja... |   Y   |
|   Target: $stack1 = staticinvoke <java.lang.Double: java.lang.Double valueOf(java.lang.String)>...  |       |
| Source: if $stack1 != 0 goto $stack2 = 0                                                            |   Y   |
|   Target: $stack2 = 1                                                                               |       |
| Source: if $stack30 == 0 goto $stack31 = virtualinvoke l0.<java.lang.String: boolean startsWith(... |   N   |
|   Target: $stack31 = virtualinvoke l0.<java.lang.String: boolean startsWith(java.lang.String)>(...  |       |
| Source: if $stack65 != 0 goto $stack66 = staticinvoke <comp5111.assignment.cut.Subject$NumberTas... |   N   |
|   Target: $stack66 = staticinvoke <comp5111.assignment.cut.Subject$NumberTasks: boolean isDigit...  |       |
| Source: if $stack2 == 0 goto $stack3 = 0                                                            |   Y   |
|   Target: $stack3 = 0                                                                               |       |
| Source: if l0 > 122 goto $stack1 = 0                                                                |   N   |
|   Target: $stack1 = 0                                                                               |       |
| Source: if $stack2 != 0 goto $stack4 = 1                                                            |   Y   |
|   Target: $stack4 = 1                                                                               |       |
| Source: if $stack12 == 0 goto l4 = l4 + 1                                                           |   Y   |
|   Target: l2 = 1                                                                                    |       |
| Source: if l6 >= l4 goto l8 = l8 + 1                                                                |   N   |
|   Target: $stack19 = l8 + 1                                                                         |       |
| Source: if l0 != null goto $stack1 = interfaceinvoke l0.<java.lang.CharSequence: int length()>()    |   Y   |
|   Target: $stack1 = 0                                                                               |       |
| Source: if $stack13 <= 8 goto l3#27 = 0                                                             |   N   |
|   Target: return 0                                                                                  |       |
| Source: if l8 != 42 goto virtualinvoke $stack12.<java.lang.StringBuilder: java.lang.StringBuilde... |   N   |
|   Target: virtualinvoke $stack12.<java.lang.StringBuilder: java.lang.StringBuilder append(char)...  |       |
| Source: if l5 >= $stack14 goto (branch)                                                             |   Y   |
|   Target: l6 = l2[l5]                                                                               |       |
| Source: if $stack6 == 0 goto $stack8 = <comp5111.assignment.cut.Subject$FilenameTasks: java.util... |   Y   |
|   Target: $stack13 = lengthof l1                                                                    |       |
| Source: if l5#11 <= 55 goto $stack124 = staticinvoke <comp5111.assignment.cut.Subject$NumberTask... |   N   |
|   Target: $stack123 = staticinvoke <comp5111.assignment.cut.Subject$NumberTasks: java.lang.Long...  |       |
| Source: if l2 != 43 goto $stack7 = 0                                                                |   Y   |
|   Target: $stack7 = 0                                                                               |       |
| Source: if l0 < 65 goto $stack1 = 0                                                                 |   Y   |
|   Target: $stack1 = 0                                                                               |       |
| Source: if $stack12 != null goto l3 = l3 + -1                                                       |   N   |
|   Target: return l3                                                                                 |       |
| Source: if l0 != 47 goto (branch)                                                                   |   Y   |
|   Target: if l0 != 92 goto $stack1 = new java.lang.IllegalArgumentException                         |       |
| Source: if $stack144 != 45 goto $stack145 = 0                                                       |   Y   |
|   Target: $stack145 = 0                                                                             |       |
| Source: if l0 > 122 goto $stack1 = 0                                                                |   Y   |
|   Target: $stack1 = 1                                                                               |       |
| Source: if $stack9 != 0 goto return 0                                                               |   Y   |
|   Target: return 0                                                                                  |       |
| Source: if l7#20 != null goto $stack62 = new java.lang.NumberFormatException                        |   N   |
|   Target: if l8 != null goto $stack62 = new java.lang.NumberFormatException                         |       |
| Source: if $stack2 != 0 goto $stack4 = 1                                                            |   N   |
|   Target: $stack3 = l0 % 400                                                                        |       |
| Source: if l0 < 32 goto $stack1 = 1                                                                 |   Y   |
|   Target: $stack1 = 1                                                                               |       |
| Source: if l2 != $stack14 goto $stack15 = 0                                                         |   Y   |
|   Target: $stack15 = 1                                                                              |       |
| Source: if l1 == 4 goto return 30                                                                   |   Y   |
|   Target: return 30                                                                                 |       |
| Source: if l1 == 0 goto $stack13 = lengthof l2                                                      |   Y   |
|   Target: $stack13 = lengthof l2                                                                    |       |
| Source: if l2 >= 10 goto virtualinvoke $stack4.<java.lang.StringBuilder: java.lang.StringBuilder... |   Y   |
|   Target: virtualinvoke $stack4.<java.lang.StringBuilder: java.lang.StringBuilder append(int)>(...  |       |
| Source: if $stack10 == 0 goto l2 = interfaceinvoke l0.<java.lang.CharSequence: int length()>()      |   Y   |
|   Target: return 0                                                                                  |       |
| Source: if $stack30 == 0 goto $stack31 = virtualinvoke l0.<java.lang.String: boolean startsWith(... |   N   |
|   Target: interfaceinvoke $stack28.<java.util.List: boolean add(java.lang.Object)>("")              |       |
| Source: if $stack138 == 0 goto l7 = l7 + 1                                                          |   Y   |
|   Target: l7 = l7 + 1                                                                               |       |
| Source: if $stack7 == 0 goto return 0                                                               |   N   |
|   Target: $stack8 = virtualinvoke l1.<java.util.regex.Matcher: int groupCount()>()                  |       |
| Source: if l3#27 >= 8 goto $stack15 = 1                                                             |   Y   |
|   Target: if l1 == 0 goto $stack15 = 0                                                              |       |
| Source: if l0 != null goto $stack6 = virtualinvoke l0.<java.lang.String: boolean isEmpty()>()       |   Y   |
|   Target: $stack6 = virtualinvoke l0.<java.lang.String: boolean isEmpty()>()                        |       |
| Source: if $stack29 != 0 goto $stack30 = virtualinvoke l13#69.<java.lang.Double: boolean isInfin... |   N   |
|   Target: $stack42 = virtualinvoke l12#81.<java.lang.Float: float floatValue()>()                   |       |
| Source: if l2 > 4 goto return 1                                                                     |   N   |
|   Target: l3 = virtualinvoke l1.<java.util.regex.Matcher: java.lang.String group(int)>(l2)          |       |
| Source: if l8 >= l3 goto l6 = l6 + 1                                                                |   Y   |
|   Target: l6 = l6 + 1                                                                               |       |
| Source: if l6 != l4 goto $stack12 = virtualinvoke l0.<java.lang.String: java.lang.String substri... |   Y   |
|   Target: $stack16 = virtualinvoke l0.<java.lang.String: java.lang.String substring(int,int)>(0...  |       |
| Source: if l2 != 10 goto (branch)                                                                   |   Y   |
|   Target: if l2 == 13 goto $stack7 = virtualinvoke l0.<java.lang.String: java.lang.String subst...  |       |
| Source: if l7 < 0 goto return 0                                                                     |   N   |
|   Target: if l7 <= 65535 goto l3#27 = l3#27 + 1                                                     |       |
| Source: if l5#11 == 46 goto $stack119 = 0                                                           |   N   |
|   Target: $stack119 = 0                                                                             |       |
| Source: if l0 > 90 goto $stack1 = 0                                                                 |   Y   |
|   Target: $stack1 = 0                                                                               |       |
| Source: if l8 != null goto $stack62 = new java.lang.NumberFormatException                           |   N   |
|   Target: $stack62 = new java.lang.NumberFormatException                                            |       |
| Source: if l2 <= $stack9 goto return                                                                |   Y   |
|   Target: $stack10 = new java.lang.IllegalArgumentException                                         |       |
| Source: if $stack45 == 0 goto return 0                                                              |   N   |
|   Target: return 0                                                                                  |       |
| Source: if l4 <= 1 goto l3#27 = l3#27 + 1                                                           |   Y   |
|   Target: l3#27 = l3#27 + 1                                                                         |       |
| Source: if l0 != 92 goto $stack1 = new java.lang.IllegalArgumentException                           |   Y   |
|   Target: $stack1 = new java.lang.IllegalArgumentException                                          |       |
| Source: if l0 != 10 goto (branch)                                                                   |   Y   |
|   Target: if l0 != 11 goto (branch)                                                                 |       |
| Source: if l1 == 6 goto return 30                                                                   |   Y   |
|   Target: return 30                                                                                 |       |
| Source: if l4 >= l3 goto (branch)                                                                   |   Y   |
|   Target: if l1 == 0 goto $stack9 = interfaceinvoke l0.<java.lang.CharSequence: char charAt(int...  |       |
| Source: if $stack8 != 0 goto l2 = 16                                                                |   Y   |
|   Target: $stack12 = virtualinvoke l0.<java.lang.String: boolean startsWith(java.lang.String,in...  |       |
| Source: if $stack5 != 0 goto l2 = l2 + 1                                                            |   N   |
|   Target: l2 = l2 + 1                                                                               |       |
| Source: if l2 >= $stack4 goto return 1                                                              |   Y   |
|   Target: $stack5 = l1[l2]                                                                          |       |
| Source: if l1 == 7 goto return 31                                                                   |   Y   |
|   Target: return 31                                                                                 |       |
| Source: if l6 != 8 goto $stack124 = staticinvoke <comp5111.assignment.cut.Subject$NumberTasks: j... |   N   |
|   Target: $stack124 = staticinvoke <comp5111.assignment.cut.Subject$NumberTasks: java.lang.Inte...  |       |
| Source: if l0 >= 128 goto $stack1 = 0                                                               |   Y   |
|   Target: $stack1 = 1                                                                               |       |
| Source: if $stack19 <= 4 goto l7 = staticinvoke <java.lang.Integer: int parseInt(java.lang.Strin... |   Y   |
|   Target: return 0                                                                                  |       |
| Source: if $stack1 < 0 goto return l0                                                               |   N   |
|   Target: $stack2 = new java.lang.IllegalArgumentException                                          |       |
| Source: if l0 >= 2100 goto $stack1 = l0 & 3                                                         |   N   |
|   Target: $stack7 = l0 & 3                                                                          |       |
| Source: if $stack6 == 0 goto l2 = interfaceinvoke l0.<java.lang.CharSequence: int length()>()       |   Y   |
|   Target: $stack12 = l1 instanceof java.lang.String                                                 |       |
| Source: if $stack12 == 0 goto l2 = interfaceinvoke l0.<java.lang.CharSequence: int length()>()      |   Y   |
|   Target: $stack15 = virtualinvoke l0.<java.lang.Object: boolean equals(java.lang.Object)>(l1)      |       |
| Source: if l0 != null goto $stack1 = staticinvoke <java.lang.Float: java.lang.Float valueOf(java... |   N   |
|   Target: return null                                                                               |       |
| Source: if l2 == 0 goto $stack5 = virtualinvoke l0.<java.lang.String: java.lang.String substring... |   Y   |
|   Target: $stack5 = virtualinvoke l0.<java.lang.String: java.lang.String substring(int,int)>(0,...  |       |
| Source: if l2 < $stack4 goto (branch)                                                               |   Y   |
|   Target: $stack14 = lengthof l0                                                                    |       |
| Source: if l0 < -999999999 goto $stack3 = new java.lang.IllegalArgumentException                    |   N   |
|   Target: $stack3 = new java.lang.IllegalArgumentException                                          |       |
| Source: if $stack1 == 0 goto $stack4 = 1                                                            |   Y   |
|   Target: $stack2 = l0 % 100                                                                        |       |
| Source: if l0 != null goto $stack1 = staticinvoke <java.lang.Integer: java.lang.Integer decode(j... |   N   |
|   Target: return null                                                                               |       |
| Source: if l1 != 0 goto l2 = 0                                                                      |   Y   |
|   Target: return 1                                                                                  |       |
| Source: if l0 < 32 goto $stack1 = 0                                                                 |   Y   |
|   Target: $stack1 = 0                                                                               |       |
| Source: if $stack9 == 0 goto l2 = virtualinvoke l0.<java.lang.String: char[] toCharArray()>()       |   Y   |
|   Target: l2 = virtualinvoke l0.<java.lang.String: char[] toCharArray()>()                          |       |
| Source: if l3 >= l2 goto return 1                                                                   |   N   |
|   Target: $stack8 = interfaceinvoke l0.<java.lang.CharSequence: char charAt(int)>(l3)               |       |
| Source: lookupswitch(l5#11) {     case 68: goto l13#69 = staticinvoke <comp5111.assignment.cut.S... |   N   |
|   Target: l13#63 = staticinvoke <comp5111.assignment.cut.Subject$NumberTasks: java.lang.Float c...  |       |
| Source: if l3#27 > 8 goto $stack15 = 0                                                              |   Y   |
|   Target: if l3#27 >= 8 goto $stack15 = 1                                                           |       |
| Source: if l1 < 0 goto return 1                                                                     |   N   |
|   Target: return 1                                                                                  |       |
| Source: if $stack5 != 45 goto $stack6 = staticinvoke <comp5111.assignment.cut.Subject$NumberTask... |   Y   |
|   Target: $stack6 = staticinvoke <comp5111.assignment.cut.Subject$NumberTasks: boolean withDeci...  |       |
| Source: if l1 == 0 goto $stack13 = lengthof l2                                                      |   N   |
|   Target: $stack28 = new java.util.ArrayList                                                        |       |
| Source: if l1 == 4 goto return 30                                                                   |   Y   |
|   Target: if l1 == 6 goto return 30                                                                 |       |
| Source: if l2 != 43 goto $stack7 = 0                                                                |   N   |
|   Target: $stack7 = 1                                                                               |       |
| Source: if l10 <= -1 goto l8 = null                                                                 |   Y   |
|   Target: l8 = null                                                                                 |       |
| Source: if $stack7 == 0 goto $stack5 = virtualinvoke l0.<java.lang.String: java.lang.String subs... |   Y   |
|   Target: $stack5 = virtualinvoke l0.<java.lang.String: java.lang.String substring(int,int)>(0,...  |       |
| Source: if $stack71 != 0 goto $stack67 = staticinvoke <comp5111.assignment.cut.Subject$NumberTas... |   N   |
|   Target: $stack67 = staticinvoke <comp5111.assignment.cut.Subject$NumberTasks: java.lang.Long ...  |       |
| Source: if l1 == 8 goto return 31                                                                   |   Y   |
|   Target: return 31                                                                                 |       |
| Source: if $stack4 != 46 goto $stack5 = virtualinvoke l0.<java.lang.String: char charAt(int)>(0)    |   Y   |
|   Target: $stack5 = virtualinvoke l0.<java.lang.String: char charAt(int)>(0)                        |       |
| Source: if l1 == 7 goto return 31                                                                   |   Y   |
|   Target: if l1 == 8 goto return 31                                                                 |       |
| Source: if l8 == l4 goto (branch)                                                                   |   N   |
|   Target: goto [?= l5 = l7]                                                                         |       |
| Source: if $stack16 == 0 goto l4 = 0                                                                |   Y   |
|   Target: l4 = 0                                                                                    |       |
| Source: if l3#27 > 8 goto $stack15 = 0                                                              |   N   |
|   Target: $stack15 = 0                                                                              |       |
| Source: if l10 >= $stack55 goto l8 = null                                                           |   N   |
|   Target: l8 = null                                                                                 |       |
| Source: lookupswitch(l5#11) {     case 68: goto l13#69 = staticinvoke <comp5111.assignment.cut.S... |   N   |
|   Target: if l7#20 != null goto $stack62 = new java.lang.NumberFormatException                      |       |
| Source: if l4 <= 255 goto $stack11 = virtualinvoke l3.<java.lang.String: int length()>()            |   N   |
|   Target: $stack11 = virtualinvoke l3.<java.lang.String: int length()>()                            |       |
| Source: if l0 == null goto $stack1 = 0                                                              |   Y   |
|   Target: $stack1 = 0                                                                               |       |
| Source: if l3 >= 0 goto l4 = virtualinvoke l0.<java.lang.String: int length()>()                    |   Y   |
|   Target: l4 = virtualinvoke l0.<java.lang.String: int length()>()                                  |       |
| Source: if $stack10 == 0 goto $stack11 = virtualinvoke l0.<java.lang.String: boolean endsWith(ja... |   Y   |
|   Target: $stack11 = virtualinvoke l0.<java.lang.String: boolean endsWith(java.lang.String)>(":...  |       |
| Source: if $stack43 != 0 goto $stack44 = virtualinvoke l12#81.<java.lang.Float: java.lang.String... |   N   |
|   Target: $stack44 = virtualinvoke l12#81.<java.lang.Float: java.lang.String toString()>()          |       |
| Source: if l3 == 0 goto $stack11 = $stack9                                                          |   N   |
|   Target: $stack11 = virtualinvoke $stack9.<java.math.BigInteger: java.math.BigInteger negate()...  |       |
| Source: if $stack1 == 0 goto $stack2 = virtualinvoke l0.<java.lang.String: int length()>()          |   Y   |
|   Target: return 0                                                                                  |       |
| Source: if l2 <= 31 goto $stack9 = staticinvoke <comp5111.assignment.cut.Subject$GregorianTasks:... |   Y   |
|   Target: $stack7 = new java.lang.IllegalArgumentException                                          |       |
| Source: if l7 <= 65535 goto l3#27 = l3#27 + 1                                                       |   N   |
|   Target: return 0                                                                                  |       |
| Source: if l0 != null goto $stack1 = interfaceinvoke l0.<java.lang.CharSequence: int length()>()    |   Y   |
|   Target: $stack1 = interfaceinvoke l0.<java.lang.CharSequence: int length()>()                     |       |
| Source: if l0 < 97 goto $stack1 = 0                                                                 |   Y   |
|   Target: $stack1 = 0                                                                               |       |
| Source: if $stack6 == 0 goto l1 = 0                                                                 |   Y   |
|   Target: $stack25 = new java.lang.NumberFormatException                                            |       |
| Source: if l0 != 92 goto $stack1 = 0                                                                |   Y   |
|   Target: $stack1 = 0                                                                               |       |
| Source: if $stack13 == 0 goto (branch)                                                              |   N   |
|   Target: l2 = l2 + 1                                                                               |       |
| Source: if l4 <= 0 goto $stack19 = l2 - 1                                                           |   Y   |
|   Target: $stack19 = l2 - 1                                                                         |       |
| Source: if l1 >= 10 goto virtualinvoke $stack4.<java.lang.StringBuilder: java.lang.StringBuilder... |   N   |
|   Target: virtualinvoke $stack4.<java.lang.StringBuilder: java.lang.StringBuilder append(int)>(...  |       |
| Source: if l0 != 11 goto (branch)                                                                   |   Y   |
|   Target: if l0 != 12 goto $stack1 = new java.lang.IllegalArgumentException                         |       |
| Source: if $stack5 != 0 goto return 0                                                               |   Y   |
|   Target: return 0                                                                                  |       |
| Source: if l1 >= 2 goto l2 = l1 - 1                                                                 |   Y   |
|   Target: return ""                                                                                 |       |
